analysis,anchor,pair,layer,n_examples,n_families,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix,baseline_balanced_accuracy
overall_harmful,end_of_evidence_block,all_conditions_pooled,0,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,1,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,2,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,3,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,4,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,5,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,6,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,7,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,8,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,9,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,10,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,11,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,12,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,13,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,14,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,15,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,16,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,17,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,18,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,19,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,20,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,21,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,22,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,23,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,24,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,25,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,26,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,27,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,28,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,29,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,30,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,31,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,32,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,33,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
overall_harmful,end_of_evidence_block,all_conditions_pooled,34,108,36,0.500000,0.500000,0.638889,0.779661,0.638889,1.000000,tn=0 fp=39 fn=0 tp=69,0.500000
