analysis,pair,anchor,best_layer,best_balanced_accuracy,best_baseline_balanced_accuracy,best_auroc,best_average_precision,n_examples,n_families,status,source_label_counts,target_label_counts
cross_condition_best,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,5,0.6911764705882353,0.5,0.6531862745098039,0.8836320824320887,80,80,ok,"{0: 37, 1: 43}","{0: 12, 1: 68}"
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_false_belief_pressure__to__evidence_false_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition_best,evidence_false_belief_pressure__to__evidence_emotional_pressure,end_of_user_message,,,,,,,,unsupported,"{0: 37, 1: 43}",{1: 80}
cross_condition_best,evidence_false_belief_pressure__to__evidence_authority_pressure,end_of_user_message,,,,,,,,unsupported,"{0: 37, 1: 43}",{1: 80}
cross_condition_best,evidence_false_rationale_pressure__to__evidence_emotional_pressure,end_of_user_message,,,,,,,,unsupported,"{0: 12, 1: 68}",{1: 80}
cross_condition_best,evidence_false_rationale_pressure__to__evidence_authority_pressure,end_of_user_message,,,,,,,,unsupported,"{0: 12, 1: 68}",{1: 80}
cross_condition_best,evidence_emotional_pressure__to__evidence_authority_pressure,end_of_user_message,,,,,,,,unsupported,{1: 80},{1: 80}
cross_condition_best,evidence_true_belief_pressure__to__evidence_true_rationale_pressure,end_of_user_message,33,0.8285714285714285,0.5,0.8657142857142857,0.43441406546669703,80,80,ok,"{0: 74, 1: 6}","{0: 70, 1: 10}"
cross_condition,evidence_true_belief_pressure__to__evidence_true_rationale_pressure,end_of_user_message,,,,,,80,80,,,
cross_condition,evidence_true_belief_pressure__to__evidence_true_rationale_pressure,end_of_user_message,,,,,,80,80,,,
