analysis,anchor,pair,layer,n_examples,n_families,balanced_accuracy,baseline_balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts
overall_harmful,end_of_evidence_block,all_conditions_pooled,0,108,36,0.666667,0.500000,0.687991,0.177461,0.222222,0.126984,0.888889,tn=44 fp=55 fn=1 tp=8
overall_harmful,end_of_evidence_block,all_conditions_pooled,1,108,36,0.686869,0.500000,0.729517,0.214630,0.235294,0.135593,0.888889,tn=48 fp=51 fn=1 tp=8
overall_harmful,end_of_evidence_block,all_conditions_pooled,2,108,36,0.651515,0.500000,0.673401,0.152711,0.213333,0.121212,0.888889,tn=41 fp=58 fn=1 tp=8
overall_harmful,end_of_evidence_block,all_conditions_pooled,3,108,36,0.621212,0.500000,0.647587,0.136731,0.210526,0.125000,0.666667,tn=57 fp=42 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,4,108,36,0.666667,0.500000,0.625140,0.129335,0.250000,0.153846,0.666667,tn=66 fp=33 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,5,108,36,0.681818,0.500000,0.616162,0.127318,0.266667,0.166667,0.666667,tn=69 fp=30 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,6,108,36,0.676768,0.500000,0.659933,0.165386,0.260870,0.162162,0.666667,tn=68 fp=31 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,7,108,36,0.681818,0.500000,0.636364,0.138648,0.266667,0.166667,0.666667,tn=69 fp=30 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,8,108,36,0.671717,0.500000,0.661055,0.158663,0.255319,0.157895,0.666667,tn=67 fp=32 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,9,108,36,0.676768,0.500000,0.721661,0.227827,0.260870,0.162162,0.666667,tn=68 fp=31 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,10,108,36,0.671717,0.500000,0.731762,0.231319,0.255319,0.157895,0.666667,tn=67 fp=32 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,11,108,36,0.732323,0.500000,0.740741,0.287679,0.297872,0.184211,0.777778,tn=68 fp=31 fn=2 tp=7
overall_harmful,end_of_evidence_block,all_conditions_pooled,12,108,36,0.676768,0.500000,0.742985,0.194317,0.260870,0.162162,0.666667,tn=68 fp=31 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,13,108,36,0.671717,0.500000,0.741863,0.176996,0.255319,0.157895,0.666667,tn=67 fp=32 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,14,108,36,0.666667,0.500000,0.734007,0.176929,0.250000,0.153846,0.666667,tn=66 fp=33 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,15,108,36,0.671717,0.500000,0.738496,0.158354,0.255319,0.157895,0.666667,tn=67 fp=32 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,16,108,36,0.666667,0.500000,0.737374,0.172627,0.250000,0.153846,0.666667,tn=66 fp=33 fn=3 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,17,108,36,0.671717,0.500000,0.726150,0.158055,0.255319,0.157895,0.666667,tn=67 fp=32 fn=3 tp=6
