label_scheme,condition,layer,layer_bucket,n_examples,n_families,n_harmful,n_nonharmful,balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts,baseline_balanced_accuracy,C_used
primary,evidence_false_belief_pressure,0,early,36,36,12,24,0.7083333333333333,0.732638888888889,0.6786486389427566,0.6206896551724138,0.5294117647058824,0.75,"{""tn"": 16, ""fp"": 8, ""fn"": 3, ""tp"": 9}",0.5,1.0
primary,evidence_false_belief_pressure,1,early,36,36,12,24,0.6458333333333334,0.7222222222222222,0.7028154350522772,0.5384615384615384,0.5,0.5833333333333334,"{""tn"": 17, ""fp"": 7, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,2,early,36,36,12,24,0.6041666666666666,0.6979166666666667,0.7040213516236535,0.5161290322580645,0.42105263157894735,0.6666666666666666,"{""tn"": 13, ""fp"": 11, ""fn"": 4, ""tp"": 8}",0.5,1.0
primary,evidence_false_belief_pressure,3,early,36,36,12,24,0.6458333333333333,0.6597222222222222,0.5997627527878487,0.5517241379310345,0.47058823529411764,0.6666666666666666,"{""tn"": 15, ""fp"": 9, ""fn"": 4, ""tp"": 8}",0.5,1.0
primary,evidence_false_belief_pressure,4,early,36,36,12,24,0.6041666666666666,0.5902777777777778,0.5545152552698992,0.5161290322580645,0.42105263157894735,0.6666666666666666,"{""tn"": 13, ""fp"": 11, ""fn"": 4, ""tp"": 8}",0.5,1.0
primary,evidence_false_belief_pressure,5,early,36,36,12,24,0.625,0.6458333333333334,0.585661031247613,0.5185185185185185,0.4666666666666667,0.5833333333333334,"{""tn"": 16, ""fp"": 8, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,6,early,36,36,12,24,0.5833333333333333,0.5868055555555556,0.5578546999039466,0.46153846153846156,0.42857142857142855,0.5,"{""tn"": 16, ""fp"": 8, ""fn"": 6, ""tp"": 6}",0.5,1.0
primary,evidence_false_belief_pressure,7,early,36,36,12,24,0.5,0.47916666666666663,0.4447794063826673,0.37037037037037035,0.3333333333333333,0.4166666666666667,"{""tn"": 14, ""fp"": 10, ""fn"": 7, ""tp"": 5}",0.5,1.0
primary,evidence_false_belief_pressure,8,early,36,36,12,24,0.47916666666666663,0.5034722222222222,0.5485912698412698,0.35714285714285715,0.3125,0.4166666666666667,"{""tn"": 13, ""fp"": 11, ""fn"": 7, ""tp"": 5}",0.5,1.0
primary,evidence_false_belief_pressure,9,early,36,36,12,24,0.5,0.545138888888889,0.5726224611708483,0.37037037037037035,0.3333333333333333,0.4166666666666667,"{""tn"": 14, ""fp"": 10, ""fn"": 7, ""tp"": 5}",0.5,1.0
primary,evidence_false_belief_pressure,10,early,36,36,12,24,0.5,0.6041666666666666,0.6153311829782419,0.37037037037037035,0.3333333333333333,0.4166666666666667,"{""tn"": 14, ""fp"": 10, ""fn"": 7, ""tp"": 5}",0.5,1.0
primary,evidence_false_belief_pressure,11,early,36,36,12,24,0.5416666666666667,0.5833333333333333,0.5938743710256994,0.42857142857142855,0.375,0.5,"{""tn"": 14, ""fp"": 10, ""fn"": 6, ""tp"": 6}",0.5,1.0
primary,evidence_false_belief_pressure,12,middle,36,36,12,24,0.625,0.673611111111111,0.6736078506976341,0.5,0.5,0.5,"{""tn"": 18, ""fp"": 6, ""fn"": 6, ""tp"": 6}",0.5,1.0
primary,evidence_false_belief_pressure,13,middle,36,36,12,24,0.6666666666666667,0.6770833333333333,0.6591269841269842,0.56,0.5384615384615384,0.5833333333333334,"{""tn"": 18, ""fp"": 6, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,14,middle,36,36,12,24,0.6041666666666667,0.6284722222222222,0.6289421599905471,0.48,0.46153846153846156,0.5,"{""tn"": 17, ""fp"": 7, ""fn"": 6, ""tp"": 6}",0.5,1.0
primary,evidence_false_belief_pressure,15,middle,36,36,12,24,0.625,0.6006944444444444,0.5916368897986546,0.5185185185185185,0.4666666666666667,0.5833333333333334,"{""tn"": 16, ""fp"": 8, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,16,middle,36,36,12,24,0.6458333333333334,0.6215277777777777,0.6361919330669331,0.5384615384615384,0.5,0.5833333333333334,"{""tn"": 17, ""fp"": 7, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,17,middle,36,36,12,24,0.625,0.6284722222222223,0.7165223096017277,0.5185185185185185,0.4666666666666667,0.5833333333333334,"{""tn"": 16, ""fp"": 8, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,18,middle,36,36,12,24,0.6041666666666667,0.6215277777777779,0.6869706736225091,0.5,0.4375,0.5833333333333334,"{""tn"": 15, ""fp"": 9, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,19,middle,36,36,12,24,0.6458333333333334,0.6736111111111112,0.6233797837964505,0.5384615384615384,0.5,0.5833333333333334,"{""tn"": 17, ""fp"": 7, ""fn"": 5, ""tp"": 7}",0.5,1.0
primary,evidence_false_belief_pressure,20,middle,36,36,12,24,0.5625,0.7361111111111112,0.6376829189329191,0.4166666666666667,0.4166666666666667,0.4166666666666667,"{""tn"": 17, ""fp"": 7, ""fn"": 7, ""tp"": 5}",0.5,1.0
primary,evidence_false_belief_pressure,21,middle,36,36,12,24,0.6875,0.829861111111111,0.7293947882183177,0.5833333333333334,0.5833333333333334,0.5833333333333334,"{""tn"": 19, ""fp"": 5, ""fn"": 5, ""tp"": 7}",0.5,1.0
