scope_name,scope_target,excluded_ids,delta_type,behavior_delta_name,behavior_transform,n_families,best_pearson_layer,best_pearson_layer_bucket,best_pearson_correlation,best_spearman_layer,best_spearman_layer_bucket,best_spearman_correlation
all_36_families,all_conditions,,false_pressure_delta,delta_false_pressure,negative,36,32,late,0.728474880015389,32,late,0.7021879021879022
all_36_families,all_conditions,,emotional_pressure_delta,delta_emotional_pressure,negative,36,30,late,0.3440842826453151,32,late,0.4386100386100386
all_36_families,all_conditions,,closed_context_delta,delta_closed_context,negative,36,32,late,0.8442841596048369,32,late,0.6702702702702703
all_36_families,all_conditions,,distractor_delta,delta_distractor,absolute,36,35,late,0.46563382812288595,35,late,0.3820008009941349
exclude_flip_family,all_conditions,logic_tournament_036,false_pressure_delta,delta_false_pressure,negative,35,32,late,0.7581753833294275,32,late,0.7112044817927171
exclude_flip_family,all_conditions,logic_tournament_036,emotional_pressure_delta,delta_emotional_pressure,negative,35,24,late,0.433216981444334,24,late,0.4672268907563025
exclude_flip_family,all_conditions,logic_tournament_036,closed_context_delta,delta_closed_context,negative,35,32,late,0.7587114337969508,32,late,0.6411764705882353
exclude_flip_family,all_conditions,logic_tournament_036,distractor_delta,delta_distractor,absolute,35,35,late,0.4681489655550158,35,late,0.39148104901716085
exclude_top1_abs_behavior_delta,false_pressure_delta,policy_rec_center_004,false_pressure_delta,delta_false_pressure,negative,35,32,late,0.7458753187222369,32,late,0.6862745098039216
exclude_top3_abs_behavior_delta,false_pressure_delta,"policy_rec_center_004,academic_latework_020,science_plant_013",false_pressure_delta,delta_false_pressure,negative,33,32,late,0.6328933317173414,32,late,0.6300133689839572
exclude_top1_abs_behavior_delta,emotional_pressure_delta,logic_tournament_036,emotional_pressure_delta,delta_emotional_pressure,negative,35,24,late,0.433216981444334,24,late,0.4672268907563025
exclude_top3_abs_behavior_delta,emotional_pressure_delta,"logic_tournament_036,finance_budget_007,finance_refund_005",emotional_pressure_delta,delta_emotional_pressure,negative,33,24,late,0.5256392110569107,24,late,0.5320855614973262
exclude_top1_abs_behavior_delta,closed_context_delta,logic_tournament_036,closed_context_delta,delta_closed_context,negative,35,32,late,0.7587114337969508,32,late,0.6411764705882353
exclude_top3_abs_behavior_delta,closed_context_delta,"logic_tournament_036,contract_ticket_032,logic_shipping_035",closed_context_delta,delta_closed_context,negative,33,32,late,0.6413332892641422,32,late,0.5728609625668449
exclude_top1_abs_behavior_delta,distractor_delta,contract_rental_029,distractor_delta,delta_distractor,absolute,35,35,late,0.372410895839912,35,late,0.3274485367047619
exclude_top3_abs_behavior_delta,distractor_delta,"contract_rental_029,contract_warranty_031,policy_rec_center_004",distractor_delta,delta_distractor,absolute,33,35,late,0.35559326433708655,35,late,0.35077750608909697
leave_one_family_out,all_conditions,academic_attendance_019,false_pressure_delta,delta_false_pressure,negative,35,32,late,0.7299926999008909,32,late,0.6927170868347339
leave_one_family_out,all_conditions,academic_attendance_019,emotional_pressure_delta,delta_emotional_pressure,negative,35,13,middle,0.35707156155378966,32,late,0.44285714285714284
leave_one_family_out,all_conditions,academic_attendance_019,closed_context_delta,delta_closed_context,negative,35,32,late,0.8442662989129871,32,late,0.6683473389355742
leave_one_family_out,all_conditions,academic_attendance_019,distractor_delta,delta_distractor,absolute,35,35,late,0.4709793848370372,35,late,0.3687824341493083
leave_one_family_out,all_conditions,academic_grading_018,false_pressure_delta,delta_false_pressure,negative,35,32,late,0.7354194237643232,32,late,0.6971988795518207
leave_one_family_out,all_conditions,academic_grading_018,emotional_pressure_delta,delta_emotional_pressure,negative,35,30,late,0.34629147711861186,32,late,0.4288515406162465
leave_one_family_out,all_conditions,academic_grading_018,closed_context_delta,delta_closed_context,negative,35,32,late,0.8508688832595471,32,late,0.7056022408963586
leave_one_family_out,all_conditions,academic_grading_018,distractor_delta,delta_distractor,absolute,35,35,late,0.48354707610855296,35,late,0.41544069804433853
leave_one_family_out,all_conditions,academic_latework_020,false_pressure_delta,delta_false_pressure,negative,35,32,late,0.6520606164298788,32,late,0.6759103641456583
leave_one_family_out,all_conditions,academic_latework_020,emotional_pressure_delta,delta_emotional_pressure,negative,35,30,late,0.33956204453357863,32,late,0.430812324929972
