analysis,anchor,pair,best_layer,best_balanced_accuracy,best_baseline_balanced_accuracy,status,support_note,n_label_0,n_label_1
overall_harmful,end_of_evidence_block,all_conditions_pooled,7,0.838776,0.500000,ok,,98,10
within_condition,end_of_evidence_block,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
within_condition,end_of_evidence_block,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,21,0.883871,0.500000,ok,,31,5
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,11,0.735294,0.500000,ok,,31,5
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,18,0.636364,0.500000,ok,,31,5
overall_harmful,end_of_question_block,all_conditions_pooled,19,0.964286,0.500000,ok,,98,10
within_condition,end_of_question_block,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
within_condition,end_of_question_block,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
within_condition,end_of_question_block,closed_context_false_belief_pressure,18,0.867742,0.500000,ok,,31,5
cross_condition,end_of_question_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_question_block,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_question_block,evidence_emotional_pressure_to_evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_question_block,evidence_emotional_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_question_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,1,0.985294,0.500000,ok,,31,5
cross_condition,end_of_question_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,17,0.984848,0.500000,ok,,31,5
overall_harmful,end_of_answer_choices,all_conditions_pooled,5,0.878571,0.500000,ok,,98,10
within_condition,end_of_answer_choices,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
within_condition,end_of_answer_choices,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
within_condition,end_of_answer_choices,closed_context_false_belief_pressure,6,0.835484,0.500000,ok,,31,5
cross_condition,end_of_answer_choices,evidence_false_belief_pressure_to_evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_answer_choices,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_answer_choices,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,17,0.750000,0.500000,ok,,31,5
cross_condition,end_of_answer_choices,closed_context_false_belief_pressure_to_evidence_emotional_pressure,5,0.742424,0.500000,ok,,31,5
overall_harmful,end_of_user_message,all_conditions_pooled,15,0.661224,0.500000,ok,,98,10
within_condition,end_of_user_message,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
within_condition,end_of_user_message,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
within_condition,end_of_user_message,closed_context_false_belief_pressure,29,0.722581,0.500000,ok,,31,5
cross_condition,end_of_user_message,evidence_false_belief_pressure_to_evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_user_message,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,end_of_user_message,evidence_emotional_pressure_to_evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_user_message,evidence_emotional_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,end_of_user_message,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,15,0.764706,0.500000,ok,,31,5
cross_condition,end_of_user_message,closed_context_false_belief_pressure_to_evidence_emotional_pressure,26,0.651515,0.500000,ok,,31,5
overall_harmful,final_answer_position,all_conditions_pooled,10,0.675510,0.500000,ok,,98,10
within_condition,final_answer_position,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
within_condition,final_answer_position,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
within_condition,final_answer_position,closed_context_false_belief_pressure,0,0.722581,0.500000,ok,,31,5
cross_condition,final_answer_position,evidence_false_belief_pressure_to_evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,final_answer_position,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:34,1:2; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",34,2
cross_condition,final_answer_position,evidence_emotional_pressure_to_evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,final_answer_position,evidence_emotional_pressure_to_closed_context_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"source_class_counts=0:33,1:3; need at least 4 source examples per class so the held-out-family training split keeps min_train_class_count=3",33,3
cross_condition,final_answer_position,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,9,0.735294,0.500000,ok,,31,5
cross_condition,final_answer_position,closed_context_false_belief_pressure_to_evidence_emotional_pressure,15,0.696970,0.500000,ok,,31,5
neutral_vulnerability,end_of_evidence_block,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
neutral_vulnerability,end_of_evidence_block,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
neutral_vulnerability,end_of_evidence_block,closed_context_false_belief_pressure,22,0.838710,0.500000,ok,,31,5
neutral_vulnerability,end_of_question_block,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
neutral_vulnerability,end_of_question_block,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
neutral_vulnerability,end_of_question_block,closed_context_false_belief_pressure,2,0.606452,0.500000,ok,,31,5
neutral_vulnerability,end_of_answer_choices,evidence_false_belief_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:34,1:2; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",34,2
neutral_vulnerability,end_of_answer_choices,evidence_emotional_pressure,-1,-1.000000,0.000000,unsupported,"class_counts=0:33,1:3; need at least 4 examples per class for leave-one-family-out training with min_train_class_count=3",33,3
neutral_vulnerability,end_of_answer_choices,closed_context_false_belief_pressure,2,0.658065,0.500000,ok,,31,5
