split,analysis,anchor,anchor_label,feature_mode,layer,n,n_harmful,n_nonharmful,ba,auroc,support_status
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,0,108,87,21,0.7758620689655172,0.8790366721401204,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,1,108,87,21,0.8267651888341543,0.8828680897646415,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,2,108,87,21,0.7060755336617406,0.8626163108921729,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,3,108,87,21,0.7241379310344828,0.9102353585112206,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,4,108,87,21,0.729064039408867,0.8894362342638206,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,5,108,87,21,0.7405582922824302,0.8899835796387521,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,6,108,87,21,0.7068965517241379,0.8938149972632731,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,7,108,87,21,0.7068965517241379,0.8927203065134101,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,8,108,87,21,0.735632183908046,0.9239189928845101,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,9,108,87,21,0.8160919540229885,0.9025725232621785,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,10,108,87,21,0.7298850574712643,0.8992884510125889,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,11,108,87,21,0.7471264367816092,0.926655719759168,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,12,108,87,21,0.7068965517241379,0.9288451012588944,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,13,108,87,21,0.7068965517241379,0.9261083743842364,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,14,108,87,21,0.7068965517241379,0.9129720853858785,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,15,108,87,21,0.7068965517241379,0.9053092501368364,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,16,108,87,21,0.7068965517241379,0.9255610290093049,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,17,108,87,21,0.7068965517241379,0.937055281882868,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,18,108,87,21,0.7068965517241379,0.9447181171319101,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,19,108,87,21,0.7068965517241379,0.9365079365079366,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,20,108,87,21,0.7241379310344828,0.9200875752599891,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,21,108,87,21,0.7241379310344828,0.9266557197591679,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,22,108,87,21,0.7183908045977012,0.9348659003831417,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,23,108,87,21,0.7298850574712643,0.9441707717569786,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,24,108,87,21,0.7298850574712643,0.942528735632184,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,25,108,87,21,0.7298850574712643,0.9430760810071155,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,26,108,87,21,0.7471264367816092,0.942528735632184,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,27,108,87,21,0.7413793103448276,0.9534756431308156,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,28,108,87,21,0.735632183908046,0.9540229885057471,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,29,108,87,21,0.7471264367816092,0.9523809523809523,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,30,108,87,21,0.7528735632183908,0.9556650246305418,supported
ALL,overall_harmful_pooled,end_of_user_message,S3,delta,31,108,87,21,0.7528735632183908,0.9534756431308156,supported
