label_scheme,source_condition,target_condition,criterion,best_layer,best_value
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,balanced_accuracy,35,0.812500
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,auroc,35,0.937500
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,average_precision,35,0.888949
primary,evidence_false_belief_pressure,evidence_false_belief_pressure,f1,35,0.761905
primary,evidence_false_belief_pressure,evidence_emotional_pressure,balanced_accuracy,32,0.923077
primary,evidence_false_belief_pressure,evidence_emotional_pressure,auroc,25,0.965385
primary,evidence_false_belief_pressure,evidence_emotional_pressure,average_precision,25,0.987989
primary,evidence_false_belief_pressure,evidence_emotional_pressure,f1,33,0.923077
primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,balanced_accuracy,20,0.806452
primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,auroc,35,0.993548
primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,average_precision,35,0.998992
primary,evidence_false_belief_pressure,closed_context_false_belief_pressure,f1,3,0.935484
primary,evidence_emotional_pressure,evidence_false_belief_pressure,balanced_accuracy,34,0.916667
primary,evidence_emotional_pressure,evidence_false_belief_pressure,auroc,35,0.993056
primary,evidence_emotional_pressure,evidence_false_belief_pressure,average_precision,35,0.988095
primary,evidence_emotional_pressure,evidence_false_belief_pressure,f1,34,0.909091
primary,evidence_emotional_pressure,evidence_emotional_pressure,balanced_accuracy,14,0.811538
primary,evidence_emotional_pressure,evidence_emotional_pressure,auroc,17,0.903846
primary,evidence_emotional_pressure,evidence_emotional_pressure,average_precision,17,0.962249
primary,evidence_emotional_pressure,evidence_emotional_pressure,f1,14,0.905660
primary,evidence_emotional_pressure,closed_context_false_belief_pressure,balanced_accuracy,35,0.838710
primary,evidence_emotional_pressure,closed_context_false_belief_pressure,auroc,35,0.896774
primary,evidence_emotional_pressure,closed_context_false_belief_pressure,average_precision,35,0.982209
primary,evidence_emotional_pressure,closed_context_false_belief_pressure,f1,2,0.925373
primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,balanced_accuracy,23,0.729167
primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,auroc,35,0.986111
primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,average_precision,35,0.975275
primary,closed_context_false_belief_pressure,evidence_false_belief_pressure,f1,23,0.647059
primary,closed_context_false_belief_pressure,evidence_emotional_pressure,balanced_accuracy,23,0.750000
primary,closed_context_false_belief_pressure,evidence_emotional_pressure,auroc,33,0.903846
primary,closed_context_false_belief_pressure,evidence_emotional_pressure,average_precision,33,0.956868
primary,closed_context_false_belief_pressure,evidence_emotional_pressure,f1,23,0.912281
primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,balanced_accuracy,1,0.700000
primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,auroc,29,0.961290
primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,average_precision,29,0.994297
primary,closed_context_false_belief_pressure,closed_context_false_belief_pressure,f1,1,0.953846
strict,evidence_false_belief_pressure,evidence_false_belief_pressure,balanced_accuracy,34,1.000000
