analysis,anchor,pair,layer,n_examples,n_families,balanced_accuracy,baseline_balanced_accuracy,auroc,average_precision,f1,precision,recall,confusion_matrix_counts
overall_harmful,end_of_evidence_block,all_conditions_pooled,0,108,36,0.500000,0.500000,0.500000,0.092593,0.169492,0.092593,1.000000,tn=0 fp=98 fn=0 tp=10
overall_harmful,end_of_evidence_block,all_conditions_pooled,1,108,36,0.484694,0.500000,0.498469,0.186718,0.000000,0.000000,0.000000,tn=95 fp=3 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,2,108,36,0.509184,0.500000,0.282143,0.089528,0.105263,0.111111,0.100000,tn=90 fp=8 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,3,108,36,0.509184,0.500000,0.766837,0.337662,0.105263,0.111111,0.100000,tn=90 fp=8 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,4,108,36,0.498980,0.500000,0.207653,0.098896,0.095238,0.090909,0.100000,tn=88 fp=10 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,5,108,36,0.538776,0.500000,0.594388,0.176157,0.166667,0.142857,0.200000,tn=86 fp=12 fn=8 tp=2
overall_harmful,end_of_evidence_block,all_conditions_pooled,6,108,36,0.483673,0.500000,0.482143,0.157548,0.083333,0.071429,0.100000,tn=85 fp=13 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,7,108,36,0.838776,0.500000,0.826020,0.333239,0.533333,0.400000,0.800000,tn=86 fp=12 fn=2 tp=8
overall_harmful,end_of_evidence_block,all_conditions_pooled,8,108,36,0.473469,0.500000,0.449490,0.128588,0.076923,0.062500,0.100000,tn=83 fp=15 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,9,108,36,0.504082,0.500000,0.607653,0.214962,0.100000,0.100000,0.100000,tn=89 fp=9 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,10,108,36,0.519388,0.500000,0.509694,0.191980,0.117647,0.142857,0.100000,tn=92 fp=6 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,11,108,36,0.664286,0.500000,0.452551,0.187247,0.380952,0.363636,0.400000,tn=91 fp=7 fn=6 tp=4
overall_harmful,end_of_evidence_block,all_conditions_pooled,12,108,36,0.498980,0.500000,0.402551,0.146027,0.095238,0.090909,0.100000,tn=88 fp=10 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,13,108,36,0.809184,0.500000,0.750510,0.315778,0.560000,0.466667,0.700000,tn=90 fp=8 fn=3 tp=7
overall_harmful,end_of_evidence_block,all_conditions_pooled,14,108,36,0.524490,0.500000,0.248469,0.113332,0.125000,0.166667,0.100000,tn=93 fp=5 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,15,108,36,0.479592,0.500000,0.275000,0.094160,0.000000,0.000000,0.000000,tn=94 fp=4 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,16,108,36,0.494898,0.500000,0.123980,0.063349,0.000000,0.000000,0.000000,tn=97 fp=1 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,17,108,36,0.609184,0.500000,0.444388,0.190945,0.285714,0.272727,0.300000,tn=90 fp=8 fn=7 tp=3
overall_harmful,end_of_evidence_block,all_conditions_pooled,18,108,36,0.459184,0.500000,0.320918,0.133003,0.000000,0.000000,0.000000,tn=90 fp=8 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,19,108,36,0.679592,0.500000,0.540306,0.446403,0.444444,0.500000,0.400000,tn=94 fp=4 fn=6 tp=4
overall_harmful,end_of_evidence_block,all_conditions_pooled,20,108,36,0.609184,0.500000,0.557653,0.406522,0.285714,0.272727,0.300000,tn=90 fp=8 fn=7 tp=3
overall_harmful,end_of_evidence_block,all_conditions_pooled,21,108,36,0.759184,0.500000,0.864796,0.610180,0.500000,0.428571,0.600000,tn=90 fp=8 fn=4 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,22,108,36,0.733673,0.500000,0.830102,0.395172,0.413793,0.315789,0.600000,tn=85 fp=13 fn=4 tp=6
overall_harmful,end_of_evidence_block,all_conditions_pooled,23,108,36,0.788776,0.500000,0.725000,0.299974,0.482759,0.368421,0.700000,tn=86 fp=12 fn=3 tp=7
overall_harmful,end_of_evidence_block,all_conditions_pooled,24,108,36,0.493878,0.500000,0.483163,0.161189,0.090909,0.083333,0.100000,tn=87 fp=11 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,25,108,36,0.598980,0.500000,0.702551,0.247535,0.260870,0.230769,0.300000,tn=88 fp=10 fn=7 tp=3
overall_harmful,end_of_evidence_block,all_conditions_pooled,26,108,36,0.598980,0.500000,0.717857,0.263137,0.260870,0.230769,0.300000,tn=88 fp=10 fn=7 tp=3
overall_harmful,end_of_evidence_block,all_conditions_pooled,27,108,36,0.448980,0.500000,0.690306,0.227696,0.000000,0.000000,0.000000,tn=88 fp=10 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,28,108,36,0.433673,0.500000,0.426020,0.111807,0.000000,0.000000,0.000000,tn=85 fp=13 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,29,108,36,0.473469,0.500000,0.205612,0.071446,0.076923,0.062500,0.100000,tn=83 fp=15 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,30,108,36,0.458163,0.500000,0.270918,0.079273,0.068966,0.052632,0.100000,tn=80 fp=18 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,31,108,36,0.403061,0.500000,0.254592,0.076415,0.000000,0.000000,0.000000,tn=79 fp=19 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,32,108,36,0.418367,0.500000,0.251531,0.077689,0.000000,0.000000,0.000000,tn=82 fp=16 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,33,108,36,0.418367,0.500000,0.179082,0.069119,0.000000,0.000000,0.000000,tn=82 fp=16 fn=10 tp=0
overall_harmful,end_of_evidence_block,all_conditions_pooled,34,108,36,0.473469,0.500000,0.179082,0.069901,0.076923,0.062500,0.100000,tn=83 fp=15 fn=9 tp=1
overall_harmful,end_of_evidence_block,all_conditions_pooled,35,108,36,0.433673,0.500000,0.138265,0.065705,0.000000,0.000000,0.000000,tn=85 fp=13 fn=10 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,0,36,36,0.500000,0.500000,0.500000,0.138889,0.243902,0.138889,1.000000,tn=0 fp=31 fn=0 tp=5
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,1,36,36,0.500000,0.500000,0.296774,0.190850,0.000000,0.000000,0.000000,tn=31 fp=0 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,2,36,36,0.451613,0.500000,0.258065,0.128451,0.000000,0.000000,0.000000,tn=28 fp=3 fn=5 tp=0
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,3,36,36,0.683871,0.500000,0.941935,0.745397,0.500000,0.666667,0.400000,tn=30 fp=1 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,4,36,36,0.651613,0.500000,0.754839,0.542857,0.400000,0.400000,0.400000,tn=28 fp=3 fn=3 tp=2
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,5,36,36,0.867742,0.500000,0.780645,0.583636,0.727273,0.666667,0.800000,tn=29 fp=2 fn=1 tp=4
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,6,36,36,0.783871,0.500000,0.645161,0.607056,0.666667,0.750000,0.600000,tn=30 fp=1 fn=2 tp=3
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,7,36,36,0.751613,0.500000,0.916129,0.531111,0.545455,0.500000,0.600000,tn=28 fp=3 fn=2 tp=3
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,8,36,36,0.551613,0.500000,0.380645,0.227200,0.222222,0.250000,0.200000,tn=28 fp=3 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,9,36,36,0.567742,0.500000,0.548387,0.392974,0.250000,0.333333,0.200000,tn=29 fp=2 fn=4 tp=1
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,10,36,36,0.567742,0.500000,0.412903,0.271375,0.250000,0.333333,0.200000,tn=29 fp=2 fn=4 tp=1
