analysis,anchor,pair,best_layer,best_balanced_accuracy,best_baseline_balanced_accuracy
overall_harmful,end_of_evidence_block,all_conditions_pooled,11,0.732323,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,-1,-1.000000,0.000000
within_condition,end_of_evidence_block,evidence_emotional_pressure,27,0.716667,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,-1,-1.000000,0.000000
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_evidence_false_belief_pressure,24,0.941176,0.500000
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_closed_context_false_belief_pressure,22,0.928571,0.500000
overall_harmful,end_of_user_pressure_sentence,all_conditions_pooled,0,0.681818,0.500000
within_condition,end_of_user_pressure_sentence,evidence_false_belief_pressure,-1,-1.000000,0.000000
within_condition,end_of_user_pressure_sentence,evidence_emotional_pressure,0,0.500000,0.500000
within_condition,end_of_user_pressure_sentence,closed_context_false_belief_pressure,-1,-1.000000,0.000000
cross_condition,end_of_user_pressure_sentence,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000,0.500000
cross_condition,end_of_user_pressure_sentence,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000,0.500000
overall_harmful,end_of_question,all_conditions_pooled,3,0.767677,0.500000
within_condition,end_of_question,evidence_false_belief_pressure,-1,-1.000000,0.000000
within_condition,end_of_question,evidence_emotional_pressure,3,0.666667,0.500000
within_condition,end_of_question,closed_context_false_belief_pressure,-1,-1.000000,0.000000
cross_condition,end_of_question,evidence_emotional_pressure_to_evidence_false_belief_pressure,3,0.941176,0.500000
cross_condition,end_of_question,evidence_emotional_pressure_to_closed_context_false_belief_pressure,9,1.000000,0.500000
overall_harmful,end_of_answer_choices,all_conditions_pooled,2,0.762626,0.500000
within_condition,end_of_answer_choices,evidence_false_belief_pressure,-1,-1.000000,0.000000
within_condition,end_of_answer_choices,evidence_emotional_pressure,0,0.783333,0.500000
within_condition,end_of_answer_choices,closed_context_false_belief_pressure,-1,-1.000000,0.000000
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_evidence_false_belief_pressure,4,0.955882,0.500000
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_closed_context_false_belief_pressure,17,0.885714,0.500000
overall_harmful,final_answer_position,all_conditions_pooled,1,0.732323,0.500000
within_condition,final_answer_position,evidence_false_belief_pressure,-1,-1.000000,0.000000
within_condition,final_answer_position,evidence_emotional_pressure,2,0.850000,0.500000
within_condition,final_answer_position,closed_context_false_belief_pressure,-1,-1.000000,0.000000
cross_condition,final_answer_position,evidence_emotional_pressure_to_evidence_false_belief_pressure,17,0.852941,0.500000
cross_condition,final_answer_position,evidence_emotional_pressure_to_closed_context_false_belief_pressure,18,1.000000,0.500000
