analysis,anchor,pair,best_layer,best_balanced_accuracy
overall_harmful,end_of_evidence_block,all_conditions_pooled,0,0.500000
within_condition,end_of_evidence_block,evidence_false_belief_pressure,0,0.500000
within_condition,end_of_evidence_block,evidence_emotional_pressure,0,0.500000
within_condition,end_of_evidence_block,closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
cross_condition,end_of_evidence_block,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_evidence_block,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_evidence_block,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
overall_harmful,end_of_user_pressure_sentence,all_conditions_pooled,0,0.500000
within_condition,end_of_user_pressure_sentence,evidence_false_belief_pressure,0,0.500000
within_condition,end_of_user_pressure_sentence,evidence_emotional_pressure,0,0.500000
within_condition,end_of_user_pressure_sentence,closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_user_pressure_sentence,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
overall_harmful,end_of_question,all_conditions_pooled,0,0.500000
within_condition,end_of_question,evidence_false_belief_pressure,0,0.500000
within_condition,end_of_question,evidence_emotional_pressure,0,0.500000
within_condition,end_of_question,closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_question,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
cross_condition,end_of_question,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_question,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_question,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_question,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_question,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
overall_harmful,end_of_answer_choices,all_conditions_pooled,0,0.500000
within_condition,end_of_answer_choices,evidence_false_belief_pressure,0,0.500000
within_condition,end_of_answer_choices,evidence_emotional_pressure,0,0.500000
within_condition,end_of_answer_choices,closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_answer_choices,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
cross_condition,end_of_answer_choices,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_answer_choices,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,end_of_answer_choices,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,end_of_answer_choices,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
overall_harmful,final_answer_position,all_conditions_pooled,0,0.500000
within_condition,final_answer_position,evidence_false_belief_pressure,0,0.500000
within_condition,final_answer_position,evidence_emotional_pressure,0,0.500000
within_condition,final_answer_position,closed_context_false_belief_pressure,0,0.500000
cross_condition,final_answer_position,evidence_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
cross_condition,final_answer_position,evidence_false_belief_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,final_answer_position,evidence_emotional_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,final_answer_position,evidence_emotional_pressure_to_closed_context_false_belief_pressure,0,0.500000
cross_condition,final_answer_position,closed_context_false_belief_pressure_to_evidence_false_belief_pressure,0,0.500000
cross_condition,final_answer_position,closed_context_false_belief_pressure_to_evidence_emotional_pressure,0,0.500000
